日付,始値,高値,安値,終値,前月比,前月比％,売買高(株)
17/12/29,"7,081","7,300","6,835","7,213",+169,+2.4,"107,674,500"
17/11/30,"7,020","7,312","6,902","7,044",+54,+0.8,"128,817,900"
17/10/31,"6,716","7,086","6,670","6,990",+280,+4.2,"134,814,700"
17/09/29,"6,215","6,832","6,137","6,710",+527,+8.5,"129,195,500"
17/08/31,"6,239","6,360","6,067","6,183",-51,-0.8,"137,065,200"
17/07/31,"5,893","6,282","5,887","6,234",+341,+5.8,"166,267,900"
17/06/30,"5,935","6,097","5,768","5,893",-39,-0.7,"142,227,100"
17/05/31,"6,024","6,242","5,923","5,932",-103,-1.7,"125,044,500"
17/04/28,"6,087","6,154","5,670","6,035",-7,-0.1,"138,571,400"
17/03/31,"6,420","6,550","6,042","6,042",-323,-5.1,"139,257,500"
17/02/28,"6,490","6,558","6,220","6,365",-219,-3.3,"136,792,300"
17/01/31,"7,010","7,103","6,575","6,584",-294,-4.3,"147,289,900"
16/12/30,"6,789","7,215","6,592","6,878",+229,+3.4,"192,916,400"
16/11/30,"6,082","6,789","5,492","6,649",+570,+9.4,"234,481,300"
16/10/31,"5,830","6,080","5,791","6,079",+300,+5.2,"120,839,200"
16/09/30,"6,262","6,372","5,703","5,779",-459,-7.4,"164,227,400"
16/08/31,"5,715","6,353","5,520","6,238",+344,+5.8,"226,878,700"
16/07/29,"5,100","5,920","4,965","5,894",+842,+16.7,"237,113,000"
16/06/30,"5,701","5,844","4,917","5,052",-731,-12.6,"279,391,000"
16/05/31,"5,404","5,839","5,375","5,783",+129,+2.3,"186,162,900"
16/04/28,"5,930","6,027","5,256","5,654",-298,-5.0,"249,448,300"
16/03/31,"5,853","6,244","5,824","5,952",+55,+0.9,"228,662,800"
16/02/29,"7,300","7,355","5,703","5,897","-1,303",-18.1,"286,595,100"
16/01/29,"7,400","7,495","6,392","7,200",-288,-3.8,"229,359,900"
15/12/30,"7,691","7,862","7,324","7,488",-169,-2.2,"191,612,100"
15/11/30,"7,380","7,717","7,331","7,657",+188,+2.5,"143,789,100"
15/10/30,"7,020","7,668","6,961","7,469",+498,+7.1,"221,454,500"
15/09/30,"7,124","7,491","6,669","6,971",-221,-3.1,"240,998,400"
15/08/31,"8,239","8,239","6,650","7,192","-1,061",-12.9,"217,821,000"
15/07/31,"8,178","8,444","7,630","8,253",+50,+0.6,"150,227,900"
15/06/30,"8,573","8,593","8,095","8,203",-401,-4.7,"149,175,200"
15/05/29,"8,298","8,700","8,150","8,604",+246,+2.9,"136,256,500"
15/04/30,"8,268","8,535","8,175","8,358",-25,-0.3,"149,367,700"
15/03/31,"8,115","8,783","8,029","8,383",+320,+4.0,"195,478,200"
15/02/27,"7,551","8,229","7,495","8,063",+418,+5.5,"170,410,400"
15/01/30,"7,565","7,834","7,255","7,645",+87,+1.2,"190,708,800"
14/12/30,"7,360","7,873","7,107","7,558",+244,+3.3,"244,583,800"
14/11/28,"6,830","7,314","6,696","7,314",+816,+12.6,"232,048,700"
14/10/31,"6,450","6,559","5,710","6,498",+35,+0.5,"233,353,400"
14/09/30,"5,963","6,550","5,938","6,463",+535,+9.0,"187,236,200"
14/08/29,"6,085","6,117","5,850","5,928",-209,-3.4,"128,051,700"
14/07/31,"6,100","6,221","5,926","6,137",+53,+0.9,"142,242,100"
14/06/30,"5,779","6,090","5,771","6,084",+323,+5.6,"157,910,300"
14/05/30,"5,577","5,761","5,376","5,761",+245,+4.4,"132,656,800"
14/04/30,"5,839","5,906","5,205","5,516",-310,-5.3,"170,804,800"
14/03/31,"5,793","5,955","5,415","5,826",-13,-0.2,"163,143,900"
14/02/28,"5,880","6,045","5,500","5,839",-83,-1.4,"172,375,100"
14/01/31,"6,360","6,400","5,886","5,922",-498,-7.8,"195,411,200"
13/12/30,"6,390","6,430","6,040","6,420",+40,+0.6,"203,877,700"
13/11/29,"6,390","6,430","6,180","6,380",+20,+0.3,"184,733,100"
13/10/31,"6,310","6,430","6,010","6,360",+90,+1.4,"180,960,300"
13/09/30,"5,980","6,520","5,970","6,270",+330,+5.6,"144,656,700"
13/08/30,"6,030","6,500","5,940","5,940",-30,-0.5,"218,342,500"
13/07/31,"6,070","6,540","5,890","5,970",-20,-0.3,"211,877,100"
13/06/28,"5,910","6,050","5,360","5,990",-20,-0.3,"332,664,100"
13/05/31,"5,640","6,760","5,460","6,010",+370,+6.6,"387,184,500"
13/04/30,"4,895","5,790","4,610","5,640",+780,+16.0,"292,653,500"
13/03/29,"4,715","5,050","4,700","4,860",+95,+2.0,"210,133,500"
13/02/28,"4,420","5,050","4,415","4,765",+400,+9.2,"284,133,300"
13/01/31,"4,200","4,390","4,030","4,365",+360,+9.0,"207,292,300"
12/12/28,"3,540","4,015","3,460","4,005",+470,+13.3,"167,951,100"
12/11/30,"3,080","3,660","3,050","3,535",+470,+15.3,"166,439,300"
12/10/31,"3,010","3,190","2,873","3,065",+25,+0.8,"137,143,500"
12/09/28,"3,090","3,280","3,020","3,040",-55,-1.8,"118,117,600"
12/08/31,"2,980","3,300","2,980","3,095",+75,+2.5,"132,865,700"
12/07/31,"3,230","3,260","2,795","3,020",-170,-5.3,"115,288,800"
12/06/29,"2,982","3,220","2,885","3,190",+150,+4.9,"157,711,400"
12/05/31,"3,280","3,280","2,990","3,040",-265,-8.0,"154,017,200"
12/04/27,"3,605","3,640","3,225","3,305",-265,-7.4,"149,885,900"
12/03/30,"3,380","3,635","3,220","3,570",+215,+6.4,"190,051,900"
12/02/29,"2,795","3,460","2,784","3,355",+545,+19.4,"203,907,500"
12/01/31,"2,611","2,906","2,553","2,810",+245,+9.6,"136,327,200"
11/12/30,"2,585","2,690","2,472","2,565",+56,+2.2,"128,458,300"
11/11/30,"2,602","2,625","2,330","2,509",-135,-5.1,"150,551,500"
11/10/31,"2,629","2,710","2,500","2,644",-44,-1.6,"125,791,300"
11/09/30,"2,740","2,780","2,562","2,688",-46,-1.7,"175,865,900"
11/08/31,"3,170","3,220","2,696","2,734",-421,-13.3,"250,381,900"
11/07/29,"3,320","3,480","3,145","3,155",-145,-4.4,"124,823,900"
11/06/30,"3,415","3,420","3,155","3,300",-100,-2.9,"145,316,100"
11/05/31,"3,300","3,425","3,165","3,400",+170,+5.3,"163,954,700"
11/04/28,"3,355","3,380","3,095","3,230",-120,-3.6,"192,505,300"
11/03/31,"3,825","3,865","2,830","3,350",-470,-12.3,"288,256,800"
11/02/28,"3,385","3,955","3,345","3,820",+420,+12.4,"227,664,800"
11/01/31,"3,250","3,595","3,240","3,400",+180,+5.6,"161,754,300"
10/12/30,"3,250","3,335","3,200","3,220",0,0.0,"165,488,500"
10/11/30,"2,831","3,340","2,800","3,220",+361,+12.6,"209,609,600"
10/10/29,"3,005","3,020","2,830","2,859",-139,-4.6,"181,952,400"
10/09/30,"2,850","3,155","2,806","2,998",+138,+4.8,"203,684,800"
10/08/31,"3,060","3,195","2,850","2,860",-190,-6.2,"207,175,400"
10/07/30,"3,040","3,280","3,000","3,050",-30,-1.0,"152,538,500"
10/06/30,"3,260","3,385","3,030","3,080",-200,-6.1,"183,774,100"
10/05/31,"3,560","3,660","3,175","3,280",-385,-10.5,"215,656,000"
10/04/30,"3,755","3,830","3,560","3,665",-80,-2.1,"194,989,100"
10/03/31,"3,330","3,795","3,280","3,745",+415,+12.5,"235,378,300"
10/02/26,"3,495","3,650","3,195","3,330",-160,-4.6,"412,388,400"
10/01/29,"3,900","4,235","3,480","3,490",-390,-10.1,"237,823,400"
09/12/30,"3,390","3,930","3,380","3,880",+440,+12.8,"165,957,300"
09/11/30,"3,560","3,640","3,290","3,440",-220,-6.0,"165,158,400"
09/10/30,"3,560","3,670","3,330","3,660",+90,+2.5,"180,606,300"
09/09/30,"4,000","4,040","3,520","3,570",-420,-10.5,"146,400,200"
09/08/31,"4,010","4,190","3,950","3,990",0,0.0,"174,569,500"
09/07/31,"3,610","4,000","3,380","3,990",+320,+8.7,"165,140,700"
09/06/30,"3,810","3,940","3,540","3,670",-140,-3.7,"171,755,900"
09/05/29,"3,860","4,080","3,470","3,810",-40,-1.0,"228,704,800"
09/04/30,"3,170","4,000","3,140","3,850",+730,+23.4,"309,283,200"
09/03/31,"3,060","3,380","2,790","3,120",-60,-1.9,"288,425,600"
09/02/27,"2,870","3,260","2,835","3,180",+255,+8.7,"228,643,900"
09/01/30,"3,030","3,270","2,750","2,925",+20,+0.7,"253,852,800"
08/12/30,"2,980","3,080","2,585","2,905",-95,-3.2,"394,261,300"
08/11/28,"3,930","4,250","2,840","3,000",-730,-19.6,"348,248,000"
08/10/31,"4,490","4,500","2,860","3,730",-650,-14.8,"428,137,700"
08/09/30,"4,830","5,020","4,340","4,380",-550,-11.2,"227,817,800"
08/08/29,"4,650","5,080","4,410","4,930",+270,+5.8,"243,366,400"
08/07/31,"5,020","5,120","4,580","4,660",-350,-7.0,"222,797,000"
08/06/30,"5,400","5,710","5,000","5,010",-360,-6.7,"234,873,400"
08/05/30,"5,280","5,590","5,000","5,370",+100,+1.9,"211,274,900"
08/04/30,"5,010","5,420","4,800","5,270",+300,+6.0,"250,205,000"
08/03/31,"5,520","5,640","4,810","4,970",-780,-13.6,"278,669,300"
08/02/29,"5,750","6,400","5,580","5,750",-70,-1.2,"289,615,500"
08/01/31,"5,880","5,890","4,880","5,820",-220,-3.6,"250,686,700"
07/12/28,"6,240","6,440","5,930","6,040",-200,-3.2,"145,734,200"
07/11/30,"6,750","6,790","5,780","6,240",-330,-5.0,"234,131,200"
07/10/31,"6,790","6,910","5,950","6,570",-210,-3.1,"198,044,200"
