日付,
17/12/29,-0.31394071987852706
17/11/30,-0.8815176759315015
17/10/31,-0.12959992484070948
17/09/29,-0.44650241593278195
17/08/31,11.74215907997857
17/07/31,1.2946426836689813
17/06/30,-0.5858108186589609
17/05/31,-1.6998554716908325
17/04/28,-83.80350867044841
17/03/31,15.17864371487725
17/02/28,0.8062517715774937
17/01/31,0.031498639373887194
16/12/30,0.39957246062705054
16/11/30,-1.1664233579530046
16/10/31,0.7383252920245034
16/09/30,-0.224457235650927
16/08/31,1.0646117023045365
16/07/29,-0.12673808825425004
16/06/30,-0.01117934528151876
16/05/31,0.833734876217028
16/04/28,-1.0582374947737754
16/03/31,-1.144724813880855
16/02/29,0.5944925599813595
16/01/29,0.062094999867936984
15/12/30,-0.4802036014050558
15/11/30,-0.7609089502149695
15/10/30,1.6235675823197708
15/09/30,-0.6650110616013043
15/08/31,-1.1115078448477957
15/07/31,-0.9766709643938642
15/06/30,-1.5828118549330852
15/05/29,0.10235472204994056
15/04/30,0.6481139098534687
15/03/31,0.8051004173319731
15/02/27,1.0711725344240488
15/01/30,-0.14067966196254117
14/12/30,-1.9804280915813521
14/11/28,-0.1369854168632022
14/10/31,-0.4480222899924903
14/09/30,0.04036121663274772
14/08/29,0.0031484898908216152
14/07/31,-0.6017319508444391
14/06/30,0.30540273962319836
14/05/30,1.4689536268114287
14/04/30,0.5208742507260506
14/03/31,-0.05637400858954844
14/02/28,10.826159295275925
14/01/31,1.6080776132271524
13/12/30,0.04812795514405316
13/11/29,0.13277430396339884
13/10/31,0.7130746501061253
13/09/30,1.412201608725272
13/08/30,0.769311893990717
13/07/31,-2.4039668731898605
13/06/28,-0.21998521516726666
13/05/31,0.13727746875444552
13/04/30,0.7047814716038946
13/03/29,-0.704528134916884
13/02/28,1.4162792355039038
13/01/31,-24.249132952836163
12/12/28,0.3406383015528811
12/11/30,-1.4014166673347601
12/10/31,-1.1269854953756513
12/09/28,-0.22732408629164425
12/08/31,-1.516875354532768
12/07/31,0.014716073057666479
12/06/29,-1.751053022566583
12/05/31,-0.365335600424314
12/04/27,10.573370568588537
12/03/30,0.5119211396157356
12/02/29,-0.4325778892570761
12/01/31,-1.9500223455067982
11/12/30,-1.569105987627799
11/11/30,2.2037603058356785
11/10/31,2.786738305200801
11/09/30,0.026428839704606744
11/08/31,-1.2930916919272093
11/07/29,-2.6186402063566794
11/06/30,0.18695446064564925
11/05/31,-0.13413205753406476
11/04/28,-2.502607736275933
11/03/31,0.30872638608160596
11/02/28,0.18064938034251687
11/01/31,0.8625599826419016
10/12/30,0.14193355451020273
10/11/30,-1.7090925206616587
10/10/29,-1.1834678261480382
10/09/30,-0.19350237946649984
10/08/31,1.727533173878025
10/07/30,-0.6825016281861653
10/06/30,-0.3366512644490369
10/05/31,0.39437746919367433
10/04/30,-1.141585874575655
10/03/31,0.6941152057637826
10/02/26,-2.045652886114579
10/01/29,0.0702686396150417
09/12/30,-1.8456386458954457
09/11/30,0.45622253807617774
09/10/30,-1.8900955969005477
09/09/30,0.4405758938488067
09/08/31,-0.3382055181364605
09/07/31,0.11735004639735691
09/06/30,2.6620425056066432
09/05/29,0.7221866155440237
09/04/30,0.6439821515108743
09/03/31,0.10604467153084107
09/02/27,3.6428219105128603
09/01/30,-0.7657192242636488
08/12/30,0.23754351031312337
08/11/28,-0.2629039479341143
08/10/31,-0.08409346611316726
08/09/30,-1.4662021336741518
08/08/29,-0.5653937761574588
08/07/31,0.4762965774279587
08/06/30,-0.3838892375261981
08/05/30,0.1254606896206243
08/04/30,-5.8549068412835386
08/03/31,0.27064044753850114
08/02/29,0.25281266852270357
08/01/31,4.42072817679461
07/12/28,-0.03611550707542249
07/11/30,-0.07732997529702484
07/10/31,-0.29521373237239584
07/09/28,0.33254824538125793
07/08/31,-0.46540708449970614
07/07/31,-3.4321331174219196
07/06/29,-0.07646287558401133
07/05/31,-0.22398227727507924
07/04/27,-4.551199231002572
07/03/30,-0.1763607020956589
07/02/28,-1.7639767238511235
07/01/31,0.3147857851009441
06/12/29,-0.22013542523122664
06/11/30,0.2594023696944627
06/10/31,-0.08220471115519179
06/09/29,-1.005157653801183
06/08/31,-0.6638336756691408
06/07/31,-0.6412115315583231
