日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
16/06/03,"3,094","3,111","3,022","3,072",-6,-0.2,"32,134,900"
16/05/27,"2,917","3,119","2,842","3,078",+161,+5.5,"57,261,200"
16/05/20,"2,859","2,976","2,810","2,917",+20,+0.7,"41,541,100"
16/05/13,"2,593","2,914","2,567","2,897",+333,+13.0,"58,906,100"
16/05/06,"2,606","2,689","2,541","2,563",-214,-7.7,"27,754,300"
16/04/28,"2,955","2,963","2,756","2,778",-239,-7.9,"43,937,200"
16/04/22,"2,785","3,074","2,707","3,017",+82,+2.8,"70,040,300"
16/04/15,"2,840","3,069","2,823","2,935",+76,+2.7,"67,310,300"
16/04/08,"2,750","2,926","2,744","2,858",+96,+3.5,"53,993,300"
16/04/01,"2,898","2,954","2,751","2,762",-133,-4.6,"39,591,100"
16/03/25,"2,980","2,989","2,823","2,896",-40,-1.4,"30,981,100"
16/03/18,"2,800","2,997","2,762","2,936",+183,+6.6,"61,798,400"
16/03/11,"2,605","2,770","2,511","2,752",+160,+6.2,"53,295,200"
16/03/04,"2,440","2,594","2,313","2,592",+205,+8.6,"49,235,100"
16/02/26,"2,471","2,518","2,352","2,387",-116,-4.6,"42,671,000"
16/02/19,"2,370","2,609","2,358","2,503",+246,+10.9,"56,655,800"
16/02/12,"2,560","2,592","2,199","2,257",-358,-13.7,"57,069,600"
16/02/05,"2,923","2,924","2,580","2,615",+92,+3.6,"85,694,500"
16/01/29,"2,565","2,569","2,361","2,523",-5,-0.2,"74,854,500"
16/01/22,"2,532","2,673","2,430","2,528",-54,-2.1,"74,227,300"
16/01/15,"2,749","2,780","2,562","2,582",-242,-8.6,"51,818,500"
16/01/08,"2,958","3,066","2,745","2,824",-177,-5.9,"71,243,100"
15/12/30,"2,945","3,035","2,918","3,002",+68,+2.3,"16,289,000"
15/12/25,"2,951","3,009","2,887","2,933",-65,-2.2,"37,758,900"
15/12/18,"2,950","3,153","2,947","2,998",-42,-1.4,"60,169,400"
15/12/11,"3,123","3,159","2,980","3,041",-50,-1.6,"36,447,500"
15/12/04,"3,231","3,259","3,070","3,091",-173,-5.3,"44,583,300"
15/11/27,"3,276","3,325","3,231","3,264",-21,-0.6,"23,672,100"
15/11/20,"3,297","3,367","3,211","3,285",-102,-3.0,"34,892,400"
15/11/13,"3,448","3,525","3,381","3,387",-17,-0.5,"30,244,500"
15/11/06,"3,416","3,507","3,381","3,404",-76,-2.2,"24,336,400"
15/10/30,"3,506","3,568","3,371","3,480",+60,+1.8,"45,291,900"
15/10/23,"3,280","3,490","3,236","3,420",+170,+5.2,"34,197,000"
15/10/16,"3,217","3,272","3,053","3,250",+39,+1.2,"24,195,000"
15/10/09,"3,122","3,260","3,117","3,211",+117,+3.8,"36,606,600"
15/10/02,"3,030","3,120","2,742","3,094",-12,-0.4,"56,591,300"
15/09/25,"3,022","3,113","2,974","3,106",-9,-0.3,"15,454,600"
15/09/18,"3,190","3,241","3,060","3,115",-64,-2.0,"37,629,200"
15/09/11,"2,941","3,225","2,851","3,179",+213,+7.2,"46,255,200"
15/09/04,"3,130","3,229","2,912","2,966",-203,-6.4,"44,478,700"
15/08/28,"3,000","3,194","2,713","3,169",+79,+2.6,"76,868,900"
15/08/21,"3,390","3,407","3,060","3,090",-276,-8.2,"35,315,100"
15/08/14,"3,330","3,491","3,303","3,366",+18,+0.5,"35,508,000"
15/08/07,"3,550","3,565","3,301","3,348",-185,-5.2,"51,801,500"
15/07/31,"3,641","3,701","3,487","3,533",-161,-4.4,"52,086,700"
15/07/24,"3,508","3,719","3,480","3,694",+179,+5.1,"75,512,200"
15/07/17,"3,500","3,592","3,425","3,515",+95,+2.8,"66,467,500"
15/07/10,"3,455","3,524","3,228","3,420",-83,-2.4,"45,112,700"
15/07/03,"3,731","3,814","3,430","3,503",-375,-9.7,"67,862,800"
15/06/26,"3,672","3,905","3,668","3,878",+221,+6.0,"36,752,900"
15/06/19,"3,737","3,823","3,657","3,657",-129,-3.4,"28,536,600"
15/06/12,"3,768","3,800","3,601","3,786",+53,+1.4,"37,859,500"
15/06/05,"3,820","3,858","3,703","3,733",-128,-3.3,"35,577,700"
15/05/29,"3,869","3,947","3,822","3,862",+20,+0.5,"45,357,900"
15/05/22,"3,914","3,970","3,762","3,842",-50,-1.3,"44,459,200"
15/05/15,"3,666","3,914","3,655","3,892",+269,+7.4,"57,899,100"
15/05/08,"3,609","3,656","3,490","3,623",-5,-0.1,"19,110,100"
15/05/01,"3,715","3,744","3,550","3,628",-110,-2.9,"36,944,900"
15/04/24,"3,550","3,800","3,530","3,739",+183,+5.1,"66,812,200"
15/04/17,"3,677","3,827","3,547","3,555",-122,-3.3,"61,654,400"
15/04/10,"3,422","3,700","3,415","3,677",+227,+6.6,"61,583,200"
15/04/03,"3,170","3,462","3,126","3,450",+253,+7.9,"51,943,500"
15/03/27,"3,390","3,450","3,157","3,196",-163,-4.9,"44,557,700"
15/03/20,"3,199","3,413","3,040","3,359",+136,+4.2,"75,320,400"
15/03/13,"3,325","3,326","3,181","3,223",-114,-3.4,"49,812,700"
15/03/06,"3,390","3,400","3,275","3,337",-77,-2.3,"43,978,700"
15/02/27,"3,235","3,414","3,182","3,414",+213,+6.7,"65,515,600"
15/02/20,"3,268","3,300","3,105","3,201",-19,-0.6,"61,431,100"
15/02/13,"3,100","3,255","3,025","3,220",+82,+2.6,"56,771,700"
15/02/06,"2,713","3,269","2,675","3,138",+364,+13.1,"129,846,000"
15/01/30,"2,698","2,860","2,689","2,774",+37,+1.4,"63,914,700"
15/01/23,"2,425","2,743","2,397","2,737",+353,+14.8,"66,402,000"
15/01/16,"2,522","2,557","2,351","2,384",-215,-8.3,"43,396,200"
15/01/09,"2,471","2,629","2,397","2,599",+126,+5.1,"52,090,700"
14/12/30,"2,560","2,567","2,472","2,472",-78,-3.1,"12,431,100"
14/12/26,"2,449","2,579","2,443","2,550",+104,+4.3,"24,348,100"
14/12/19,"2,410","2,522","2,315","2,446",+6,+0.2,"60,023,100"
14/12/12,"2,685","2,688","2,390","2,440",-236,-8.8,"60,613,600"
14/12/05,"2,625","2,696","2,572","2,677",+77,+3.0,"47,994,400"
14/11/28,"2,535","2,600","2,498","2,600",+166,+6.8,"56,139,300"
14/11/21,"2,405","2,515","2,325","2,433",+32,+1.3,"60,627,400"
14/11/14,"2,252","2,401","2,247","2,401",+143,+6.3,"64,740,500"
14/11/07,"2,279","2,320","2,228","2,258",+186,+9.0,"76,040,500"
14/10/31,"1,908","2,105","1,872","2,072",+185,+9.8,"63,985,200"
14/10/24,"1,847","1,933","1,831","1,886",+81,+4.5,"46,491,300"
14/10/17,"1,840","1,878","1,782","1,805",-77,-4.1,"48,754,500"
14/10/10,"1,932","1,952","1,848","1,882",-13,-0.7,"49,285,100"
14/10/03,"1,925","2,009","1,872","1,895",-4,-0.2,"76,780,600"
14/09/26,"1,921","1,932","1,866","1,899",-22,-1.1,"53,868,900"
14/09/19,"2,127","2,173","1,844","1,921",-206,-9.7,"140,454,600"
14/09/12,"2,025","2,169","2,002","2,127",+111,+5.5,"46,189,200"
14/09/05,"1,982","2,083","1,980","2,016",+26,+1.3,"46,789,600"
14/08/29,"1,966","2,000","1,947","1,990",+35,+1.8,"40,993,900"
14/08/22,"1,887","1,975","1,875","1,954",+80,+4.3,"46,236,700"
14/08/15,"1,777","1,883","1,755","1,874",+128,+7.3,"42,273,900"
14/08/08,"1,836","1,878","1,731","1,745",-109,-5.9,"47,438,300"
14/08/01,"1,794","1,887","1,770","1,855",+63,+3.5,"51,658,200"
14/07/25,"1,682","1,795","1,680","1,791",+111,+6.6,"38,231,600"
14/07/18,"1,679","1,710","1,666","1,680",+6,+0.4,"22,335,100"
14/07/11,"1,719","1,737","1,665","1,674",-46,-2.7,"30,662,200"
14/07/04,"1,694","1,736","1,675","1,720",+41,+2.4,"38,331,500"
14/06/27,"1,727","1,738","1,668","1,679",-25,-1.5,"33,102,500"
